key_titulo	titulo_en	key_descripcion	descripcion_en
Adagio_Industrial_Salvage_Universal_E_Title_001	Salvager Needed (Small Supply of RMC)	Adagio_Industrial_Salvage_Universal_E_Desc_001	
Adagio_Industrial_Salvage_Universal_Intro_Title_001	Adagio Holdings in Need of Salvagers	Adagio_Industrial_Salvage_Universal_Intro_Desc_001	
Adagio_Industrial_Salvage_Universal_M_Title_001	Salvager Needed (Med. Supply of RMC) 	Adagio_Industrial_Salvage_Universal_M_Desc_001	
bhg_bounty_title_ASD_Engineering_001	Verified Bounty: ~mission(TargetName) at ~mission(Location)		
bhg_bounty_title_ASD_Research_001	Verified Bounty: ~mission(TargetName) at ~mission(Location)		
bhg_bounty_title_FPS_intro	Preliminary Bounty: ~mission(TargetName)		
bhg_bounty_title_gen_001	Verified Bounty: ~mission(TargetName) | ~mission(Danger)		
bhg_bounty_title_HeadHunters_001	Verified Bounty: ~mission(TargetName) | HeadHunters | ~mission(Danger)		
bhg_bounty_title_Rockcracker_001	Verified Bounty: ~mission(TargetName) at QV Breaker Station		
bhg_bounty_title_ShatteredBlade_001	Verified Bounty: ~mission(TargetName)		
bhg_bounty_title_XT_001	Verified Bounty: ~mission(TargetName) | XenoThreat | ~mission(Danger)		
BHG_Certification_Criminal_Title	Suspect Apprehension Certification 	BHG_Certification_Criminal_Desc	
BHG_Certification_Easy_Title	Tracker Beginner's Permit Certification	BHG_Certification_Easy_Desc	
BHG_Certification_EscapedConvict_Title	Fugitive Recovery Certification	BHG_Certification_EscapedConvict_Desc	
BHG_Certification_Hard_Title	Journeyman Tracker License Certification	BHG_Certification_Hard_Desc	
BHG_Certification_Medium_Title	Tracker License Certification	BHG_Certification_Medium_Desc	
BHG_Certification_Super_Title	Master Tracker License Certification	BHG_Certification_Super_Desc	
BHG_Certification_VeryEasy_Title	Tracker Training Permit Certification	BHG_Certification_VeryEasy_Desc	
BHG_Certification_VeryHard_Title	Advanced Tracker License Certification	BHG_Certification_VeryHard_Desc	
bhg_EliminateBoss_FPS_Rockcracker_Warehouse_name_001	High-Risk Bounty: ~mission(TargetName) at QV Breaker Station		
Bitzeroes_bombingrun_dc_title_001	Up in Smoke	Bitzeroes_bombingrun_dc_desc_001	We’ve been trying to access some sensitive data over at ~mission(Location|Address) but there seems to only be one backdoor we can use. The issue is we need someone onsite to trigger it. And I really do mean trigger it.\n\nIf you can head over there and destroy part of their infrastructure, the emergency back up systems will kick online and we should be able to access everything we want. \n\nWish I could see the surprise look on the faces of the lowlifes running the place when it happens.\n\n-Bit Zeros\n
Bitzeroes_destroyitem_dc_title_001	Major Malfunction	Bitzeroes_destroyitem_dc_desc_001	I won’t go into the whole long boring story of why, but there are a few bits of ~mission(Location|Address) that we need destroyed. The important part is that I want to pay you a hefty chunk of credits to do it. I almost feel like you should be paying us for this because of how fun it’s going to be.\n\nDon’t even care how you get it done. Grenades, rocket launcher, day old Torpedo Burrito, it’s all the same to us.\n\n-Bit Zeros \n
Bitzeroes_destroyservers_locked_dc_title_001	Server Not Found	Bitzeroes_destroyservers_locked_dc_desc_001	Hey,\n\nGot a problem we could use your help on. One of our former new-recruits did a complete crap job on a hack and wound up leaving a digital footprint so messy that it might as well be a full confession. \n\nA remote deletion’s not going to be good enough so I want you to go to ~mission(Location|Address) and make sure their data servers are wiped from existence.\n\nAs if this wasn’t a big enough of a mess already, the access codes to the locked server room door are only stored physically on site. That means you’re going to have to liberate a datapad with the code on it first before you can even get close to them.\n\nDon’t worry though. I’ll make sure the creds are worth all the hassle.  \n\n- Bit Zeros\n
Bitzeroes_destroystash_dc_title_001	Hit 'Em Where it Hurts	Bitzeroes_destroystash_dc_desc_001	The muckers over at ~mission(Location|Address) decided that it would be a good idea to interfere with our business, and now we need to let them know unequivocally that they were mistaken. \n\nA little bit of sniffin’ through their data and we were able to sus out where the idiots keep their stash. Now all we need you to do is head over there and destroy every last bit of it. \n\nFigure that should drive the point home.\n\n- Bit Zeros\n
Bitzeroes_eliminateall_dc_title_001	Permanently Delete	Bitzeroes_eliminateall_dc_desc_001	The slimy little cretins over at ~mission(Location|Address) have been selling us trash data all while trying to double deal. Can’t let it stand.\n\nWe want you to go teach them one final lesson and wipe out all the cowards you can find. Last I heard is they were holed up over near the ~mission(Location). \n\nSpill their blood, and we’ll fill your wallet. \n\n-Bit Zeros\n
Bitzeroes_theft_dc_title_001	Ownership Reassignment	Bitzeroes_theft_dc_desc_001	All right,\n\nOver at ~mission(Location|Address) there a few certain things they have in their possession that need to be liberated. Sure there may be a few guards or concerned individuals you’ll have to deal with, but for the most part it’s a relatively straight forward transaction – grab the stuff from the ~mission(Location) and take it to us at ~mission(Destination|Address). \n\nSometimes simple is best.\n\n-Bit Zeros \n
Bitzeroes_theft_mines_dc_title_001	Delicate Dealings	Bitzeroes_theft_mines_dc_desc_001	I’m really hoping you’re going to agree to do this since there doesn’t seem to be too many folks eager to take on a whole bunch of proximity mines. See, there’s a score that we’ve sourced at ~mission(Location|Address) but the physical security is proving more difficult than expected. \n\nIf you can find a way to navigate through the mines or possibly a way to trigger them remotely, it should be relatively easy to grab the goods and make your way out of there. Drop them off at ~mission(Destination|Address) and you’ll get more than your fair cut of the credits for taking on the risk.\n\n-Bit Zeros\n
blacjac_bounty_fps_title_001	Wanted by ArcCorp: ~mission(TargetName) (?RT)	blacjac_bounty_fps_UGF_nocivs_desc_001	ATTN: Bounty Hunters\n\nNeed you to grab a bounty by the name of ~mission(TargetName) at ~mission(Location|Address). While there may be other criminal accomplices at the scene, I want you to be mindful of any civilians or workers who might be there.\n\nI got enough to deal with, so I don’t need to be explaining why a contractor shot a bunch of civilians.\n\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"
blacjac_bounty_fps_title_first	BlacJac Bounty Trial Contract	blacjac_bounty_fps_desc_first	ATTN: Bounty Hunters\n\nI have more bounties than I have bounty hunters at the moment, so I'm looking to expand our roster. \n\nIf you do a good job on this first one, there'll be more contracts to follow. \n\nLet's see how you do trying to deal with the bounty on ~mission(TargetName). They're believed to be hiding over at ~mission(Location|Address). \n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"
blacjac_bounty_fps_title_rehire	BlacJac Bounty Trial Contract	blacjac_bounty_fps_desc_rehire	ATTN: Former BlacJac Bounty Hunter\n\nI know BlacJac stopped giving you bounty contracts, but times change and here we are giving you another chance.\n\nIf you're able to complete the bounty on ~mission(TargetName) over at ~mission(Location|Address) then we can see about getting you reinstated.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"
blacjac_bounty_title_ERT	Wanted by ArcCorp: ~mission(TargetName) (ERT)	blacjac_bounty_desc_ERT	ATTN: Bounty Hunters\n\nYou might have heard of ~mission(TargetName) before. They’re an extreme-risk target and they’ve been making headlines recently. The hope is you’ll be able to put together a response team and help BlacJac shut them down for good. Our most recent intel has their sub-capital ship and heavily armed escorts flying over at ~mission(Location|Address).\n \nI’d recommend making sure you’ve got an up-to-date imprint before heading out. Just in case. \n\nGood luck,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
